phrog	gene	alnScore	seqIdentity	eVal
phrog_962 ## p185654 VI_04542	contig_3 13839_13336	175	0.701	1.371e-53
phrog_675 ## MF288921_p63	contig_3 18749_20566	886	0.736	6.659999999999999e-291
phrog_86 ## KT995480_p118	contig_3 76223_77272	222	0.39	1.919e-65
phrog_3388 ## NC_022918_p13	contig_3 118877_119068	145	1.0	2.0909999999999998e-44
phrog_59 ## MG812495_p46	contig_3 82414_83121	113	0.461	1.7490000000000002e-31
phrog_59 ## MG812495_p46	contig_3 12373_11873	97	0.497	6.866e-26
phrog_59 ## MG812495_p46	contig_3 119873_119385	82	0.324	7.434e-21
phrog_9690 ## MF001355_p164	contig_3 62321_64069	351	0.605	3.189e-111
phrog_1028 ## MF001365_p35	contig_3 25964_26704	419	0.823	1.494e-135
phrog_5770 ## KY779849_p31	APTC-SA-4 2669_2262	312	1.0	3.527e-101
phrog_1316 ## NC_022763_p89	contig_3 37342_37878	171	0.507	2.764e-51
phrog_1038 ## KY581279_p99	contig_3 36840_37298	228	0.735	1.214e-71
phrog_3522 ## NC_005880_p8	contig_3 116799_117146	289	1.0	1.556e-93
phrog_3844 ## KX507046_p55	contig_3 74095_76209	350	0.423	4.7310000000000006e-108
phrog_4650 ## JX080304_p196	contig_3 106642_107322	481	1.0	1.118e-157
phrog_1069 ## MH107769_p149	contig_3 84543_85025	230	0.709	3.628e-72
phrog_3686 ## KJ206562_p35	contig_2 4914_4696	179	1.0	3.627e-56
phrog_170 ## KT995480_p45	contig_3 5668_4928	145	0.429	3.0279999999999997e-41
phrog_975 ## NC_020871_p93	contig_3 49363_50067	336	0.716	1.683e-107
phrog_6754 ## MF398190_p176	contig_3 99589_99753	134	1.0	6.812e-41
phrog_2701 ## NC_014661_p3	contig_3 35467_35607	70	0.797	1.012e-18
phrog_635 ## p151018 VI_04917	contig_3 11602_10973	269	0.647	3.2089999999999998e-80
phrog_152 ## p296456 VI_05035	contig_2 8732_8568	67	0.627	1.595e-17
phrog_1321 ## NC_018860_p10	contig_3 18049_18327	145	0.76	1.073e-43
phrog_1099 ## MH078572_p111	contig_3 116549_116788	101	0.647	6.695e-29
phrog_1099 ## MH078572_p111	contig_3 116214_116471	101	0.655	6.695e-29
phrog_1099 ## MH078572_p111	contig_3 108187_108495	78	0.532	6.562e-21
phrog_2386 ## NC_020871_p95	contig_3 51149_54208	1603	0.778	0.0
phrog_1151 ## NC_031056_p197	contig_3 32864_33079	104	0.768	4.1550000000000005e-30
phrog_448 ## NC_031034_p67	contig_3 109418_110887	684	0.714	8.442e-223
phrog_3164 ## MH107769_p11	contig_3 118518_118802	227	1.0	2.7730000000000003e-72
phrog_3377 ## NC_027355_p168	contig_3 9694_9059	123	0.66	3.4640000000000003e-34
phrog_3837 ## MH107769_p238	contig_3 120269_120400	110	1.0	6.96e-33
phrog_2164 ## KJ829260_p111	contig_2 6645_6256	109	0.435	8.143e-30
phrog_2861 ## NC_025426_p166	contig_2 11465_11139	134	0.89	1.6219999999999999e-40
phrog_3697 ## MG721208_p195	contig_2 6254_6015	193	1.0	8.029999999999999e-61
phrog_2708 ## KJ206562_p51	contig_2 11874_11458	269	0.922	6.472e-86
phrog_1909 ## NC_028778_p121	contig_2 9855_9010	285	0.542	5.4719999999999996e-89
phrog_3157 ## EU418428_p169	contig_3 99342_99584	166	0.971	1.858e-51
phrog_1070 ## DQ004855_p48	contig_3 70541_71137	161	0.455	2.1259999999999997e-47
phrog_2797 ## NC_020877_p61	contig_3 77290_77619	195	0.853	6.912e-61
phrog_1104 ## NC_021781_p184	contig_3 97048_97506	175	0.577	6.0769999999999995e-53
phrog_1240 ## NC_027355_p165	contig_3 88833_89465	166	0.566	5.224e-50
phrog_16296 ## EU418428_p24	APTC-SA-4 3100_2669	209	1.0	1.7599999999999998e-66
phrog_19 ## p414569 VI_10123	contig_3 65687_67129	158	0.272	4.702e-43
phrog_3093 ## NC_023582_p63	contig_3 4859_4635	94	0.631	1.9530000000000002e-26
phrog_7862 ## JX080301_p192	contig_3 113823_113924	78	1.0	5.981e-22
phrog_5547 ## MH078572_p191	contig_3 17805_18071	152	0.849	2.4460000000000003e-46
phrog_25616 ## NC_030933_p170	contig_3 6775_6350	113	0.764	3.3509999999999995e-33
phrog_3310 ## NC_007021_p174	contig_3 8872_8180	360	0.792	5.439e-116
phrog_987 ## p92466 VI_00133	contig_3 14109_13924	83	0.66	1.0159999999999999e-22
phrog_32014 ## KJ206562_p189	contig_3 105524_105787	213	1.0	6.991e-66
phrog_772 ## NC_022090_p13	contig_3 29587_30495	407	0.794	1.3220000000000001e-131
phrog_2573 ## NC_028962_p70	contig_3 83355_84215	350	0.634	1.941e-111
phrog_877 ## NC_020871_p97	contig_3 54861_58319	1601	0.711	0.0
phrog_3752 ## NC_005880_p179	contig_3 103033_103383	294	1.0	3.693e-95
phrog_4526 ## JX080303_p80	contig_3 17544_17278	178	0.949	2.088e-55
phrog_3619 ## KP687431_p178	APTC-SA-4 3776_3291	323	0.95	1.7090000000000002e-104
phrog_7869 ## MF398190_p177	contig_3 99740_99919	146	1.0	6.586e-45
phrog_22 ## KX925554_p168	contig_3 77603_77923	40	0.276	2.853e-07
phrog_1696 ## MF678790_p61	contig_3 90015_90242	90	0.625	4.717e-25
phrog_341 ## p82046 VI_05313	contig_3 89479_90000	177	0.579	2.129e-53
phrog_4178 ## KJ206562_p33	contig_2 3158_2841	203	0.922	7.825e-64
phrog_4637 ## AP018375_p196	contig_3 112737_113066	165	0.861	8.685999999999999e-51
phrog_3504 ## MG721208_p193	contig_2 6917_6744	144	1.0	2.894e-44
phrog_654 ## MH107769_p227	contig_3 114733_115032	125	0.631	1.0210000000000001e-36
phrog_4081 ## NC_025417_p199	contig_3 106324_106641	244	1.0	3.032e-78
phrog_1303 ## NC_020873_p120	contig_3 97571_98014	131	0.532	3.873e-37
phrog_1905 ## MG708276_p44	contig_3 35650_36108	170	0.595	1.876e-51
phrog_2884 ## KY779849_p29	APTC-SA-4 1762_1526	180	1.0	2.322e-56
phrog_1080 ## NC_024360_p172	contig_3 93344_93880	213	0.63	1.368e-65
phrog_3621 ## NC_019726_p198	contig_3 84284_84526	195	1.0	1.737e-61
phrog_4208 ## NC_005880_p180	contig_3 103383_103985	513	1.0	1.8739999999999997e-169
phrog_3857 ## KJ206562_p30	contig_2 1467_1069	317	1.0	6.560999999999999e-103
phrog_5230 ## MG721208_p196	contig_2 6003_5899	84	1.0	7.385e-24
phrog_1063 ## KY549443_p103	contig_3 18408_18734	139	0.613	7.378999999999999e-41
phrog_5729 ## JX080302_p211	contig_3 113619_113786	141	1.0	2.503e-43
phrog_2665 ## NC_025426_p17	contig_3 58527_60449	1274	0.947	0.0
phrog_2691 ## NC_025426_p19	contig_3 60853_62229	878	0.916	8.728e-291
phrog_3854 ## MF398190_p179	contig_3 100121_100654	358	0.966	3.0430000000000004e-116
phrog_2981 ## KJ206562_p32	contig_2 2825_2271	306	0.808	7.095e-98
phrog_2672 ## KP687431_p94	contig_3 85112_86383	861	0.965	1.795e-285
phrog_4418 ## NC_025417_p198	contig_3 106058_106321	217	1.0	3.669e-69
phrog_1007 ## NC_011421_p2	contig_3 96299_97030	282	0.679	8.209e-89
phrog_752 ## p62610 VI_12390	contig_3 27795_29186	548	0.595	3.336e-176
phrog_3644 ## JX080301_p157	contig_3 92969_93280	268	1.0	2.2e-86
phrog_3048 ## KJ206562_p53	contig_2 12498_12310	128	0.963	1.192e-38
phrog_3077 ## NC_005880_p9	contig_3 117693_117355	242	1.0	3.906e-77
phrog_21462 ## JX875065_p154	contig_3 94618_95064	238	1.0	1.604e-75
phrog_4009 ## KY779849_p187	contig_3 100669_100917	167	0.956	7.945e-52
phrog_1394 ## p52190 VI_08944	contig_3 54319_54840	174	0.553	1.039e-52
phrog_3128 ## NC_020877_p88	contig_3 101098_101394	181	0.947	1.629e-56
phrog_2349 ## p37356 VI_05911	APTC-SA-4 4200_3769	164	0.586	1.627e-49
phrog_1073 ## FR852584_p32	contig_3 48839_49363	230	0.661	6.876e-72
phrog_1000 ## NC_028982_p94	contig_3 32026_32862	295	0.57	2.957e-92
phrog_3524 ## MF398190_p180	contig_3 100929_101105	121	0.974	2.1230000000000003e-36
phrog_2706 ## JX080303_p65	contig_3 6956_6765	130	0.96	3.5299999999999996e-39
phrog_3143 ## MH107769_p184	contig_3 102713_103018	233	1.0	2.376e-74
phrog_3667 ## KR902361_p79	contig_3 10860_10552	239	1.0	2.181e-76
phrog_97 ## NC_023573_p129	contig_3 86443_87699	427	0.563	2.51e-135
phrog_3937 ## KJ206562_p90	contig_3 23369_23653	193	0.963	4.272e-60
phrog_2204 ## JX080300_p112	contig_3 45395_47941	1454	0.832	0.0
phrog_2863 ## EU418428_p167	contig_3 98797_99195	258	0.924	3.356e-82
phrog_2721 ## JX080303_p156	contig_3 90602_91357	479	0.91	1.284e-156
phrog_3804 ## MH107769_p183	contig_3 102365_102643	211	1.0	5.3999999999999997e-67
phrog_3319 ## KY581279_p33	contig_2 7440_6958	333	0.98	8.360000000000001e-108
phrog_548 ## NC_028887_p254	contig_3 4635_3739	204	0.42	2.3919999999999998e-60
phrog_7733 ## KY581279_p10	APTC-SA-4 659_928	101	1.0	9.231e-30
phrog_244 ## KY926791_p64	contig_3 73063_73671	113	0.457	1.743e-31
phrog_4045 ## KJ206562_p28	contig_2 556_14	453	1.0	3.477e-149
phrog_4028 ## AY954969_p122	contig_3 110966_111211	196	1.0	7.071e-62
phrog_1113 ## KJ586795_p34	contig_3 95064_95927	217	0.425	3.223e-65
phrog_4096 ## JX080304_p199	contig_3 107805_108095	231	1.0	6.566e-74
phrog_379 ## KY554777_p175	contig_3 78736_79041	94	0.479	1.3310000000000001e-25
phrog_3669 ## MH107769_p181	contig_3 101637_102005	283	1.0	3.439e-91
phrog_1257 ## NC_024364_p114	contig_3 15874_15656	115	0.814	8.536e-34
phrog_20349 ## KJ206562_p49	contig_2 10985_9867	212	1.0	2.3509999999999998e-67
phrog_2677 ## JX080300_p111	contig_3 44508_45395	529	0.862	4.108e-173
phrog_1205 ## NC_022090_p12	contig_3 29278_29574	89	0.617	1.483e-24
phrog_1074 ## DQ004855_p38	contig_3 58368_58526	59	0.512	3.778e-14
phrog_27748 ## KY779849_p45	contig_2 3928_3728	168	1.0	1.8839999999999998e-52
phrog_3789 ## NC_005880_p19	APTC-SA-4 486_659	135	1.0	3.0759999999999995e-41
phrog_1133 ## KJ591605_p133	contig_3 26723_27679	144	0.367	3.786e-40
phrog_2601 ## NC_020877_p110	contig_3 118004_118312	184	0.861	2.114e-57
phrog_5741 ## AP018375_p194	contig_3 113290_113604	255	1.0	7.802999999999999e-82
phrog_1054 ## NC_012530_p148	contig_3 78130_78726	274	0.697	1.05e-85
phrog_2948 ## KJ206562_p34	contig_2 4692_4144	335	0.88	3.586e-108
phrog_2642 ## KP687431_p208	contig_3 3127_2549	331	0.83	2.527e-106
phrog_22992 ## AY954969_p152	APTC-SA-4 1276_1377	90	1.0	5.962e-26
phrog_1817 ## NC_029080_p59	contig_3 3746_3120	354	0.822	4.416e-114
phrog_2988 ## NC_020877_p89	contig_3 102018_102365	167	0.823	2.2789999999999998e-51
phrog_2811 ## KJ206562_p56	contig_3 2352_2089	161	0.878	1.172e-49
phrog_1486 ## MF288921_p261	contig_3 104405_104806	127	0.513	7.682e-37
phrog_1486 ## MF288921_p261	contig_3 105120_105407	70	0.347	5.289e-17
phrog_619 ## NC_024383_p145	contig_3 108492_109400	246	0.478	7.624e-75
phrog_2966 ## KJ206562_p54	contig_2 12703_12542	119	1.0	8.002000000000001e-36
phrog_3751 ## AP018375_p26	contig_2 9010_8735	179	0.916	1.3510000000000001e-55
phrog_1481 ## NC_021856_p56	contig_3 17245_16919	177	0.785	1.3429999999999998e-54
phrog_3640 ## MH107769_p180	contig_3 101433_101624	154	1.0	6.54e-48
phrog_4983 ## JX080302_p209	contig_3 113072_113266	151	1.0	1.789e-46
phrog_937 ## p288068 VI_01277	contig_3 16906_16574	39	0.434	9.389e-07
phrog_200 ## p13345 VI_10141	contig_3 10552_9761	150	0.373	2.303e-42
phrog_3453 ## KP881332_p117	contig_3 107604_107804	139	0.967	4.2140000000000005e-42
phrog_2543 ## NC_020838_p42	APTC-SA-4 2_427	89	0.63	2.977e-24
phrog_3464 ## MG721208_p197	contig_2 5836_5099	552	1.0	6.15e-182
phrog_4320 ## NC_022918_p107	contig_3 36121_36315	136	1.0	3.048e-41
phrog_4580 ## MH028956_p143	contig_3 105418_105534	64	0.828	9.226e-17
phrog_3702 ## AP018375_p24	contig_2 8565_8032	436	1.0	4.411e-143
phrog_1917 ## KJ206562_p86	contig_3 20559_21380	351	0.664	7.648e-112
phrog_4743 ## NC_024355_p101	contig_3 105864_106043	103	0.827	6.551e-30
phrog_3950 ## KJ206562_p36	contig_2 5109_4915	169	1.0	9.030999999999999e-53
phrog_4249 ## NC_025417_p25	APTC-SA-4 3294_3103	150	1.0	2.483e-46
phrog_3094 ## NC_030933_p17	contig_3 22109_23227	346	0.738	2.814e-110
phrog_1095 ## NC_024137_p119	contig_3 72624_73076	106	0.454	1.2119999999999999e-29
phrog_1108 ## NC_030925_p107	contig_3 23731_24042	137	0.801	8.097e-41
phrog_1116 ## NC_024364_p99	contig_3 21537_22016	166	0.564	9.289e-49
phrog_2892 ## KP881332_p99	contig_3 92614_92982	175	0.774	7.282999999999999e-54
phrog_3204 ## KY779849_p3	contig_3 115048_115233	107	0.828	3.081e-31
phrog_4430 ## NC_025417_p202	contig_3 107411_107569	113	1.0	1.6659999999999998e-33
phrog_1025 ## NC_011421_p154	contig_3 88043_88705	213	0.608	2.011e-65
phrog_3224 ## NC_021328_p223	contig_3 111912_112223	113	0.631	7.658999999999999e-33
phrog_984 ## p282458 VI_10890	contig_3 93873_94640	220	0.68	4.064e-68
phrog_4008 ## NC_025426_p41	contig_3 79117_79989	541	0.892	1.7519999999999998e-175
phrog_4008 ## NC_025426_p41	contig_3 80803_82146	129	0.793	3.2230000000000004e-34
phrog_1089 ## NC_024787_p156	contig_3 87703_88056	166	0.699	1.1810000000000001e-50
phrog_3701 ## NC_025426_p82	contig_3 103999_104178	141	1.0	4.043e-43
phrog_2770 ## NC_025426_p183	contig_3 8070_7843	140	0.883	1.248e-42
phrog_3664 ## MF398190_p178	contig_3 99955_100131	149	1.0	4.966e-46
phrog_2671 ## NC_025426_p18	contig_3 60472_60846	228	0.876	4.4350000000000005e-72
phrog_3635 ## KY581279_p34	contig_2 8032_7490	430	1.0	4.229e-141
phrog_1274 ## p104578 VI_00510	contig_3 2542_2369	106	0.902	8.689e-31
phrog_284 ## NC_021330_p34	contig_3 91350_92600	183	0.365	1.0039999999999999e-51
phrog_3863 ## KJ206562_p87	contig_3 21451_21540	66	1.0	4.097e-17
phrog_654 ## MH107769_p227	contig_3 115917_116210	122	0.628	1.283e-35
phrog_654 ## MH107769_p227	contig_3 115340_115630	121	0.622	3.314e-35
phrog_654 ## MH107769_p227	contig_3 115630_115917	89	0.481	6.1159999999999996e-24
phrog_2726 ## EU418428_p166	contig_3 98031_98735	421	0.864	5.677e-137
phrog_7534 ## KR908644_p62	APTC-SA-4 2249_1764	401	1.0	1.699e-131
phrog_4863 ## KY581279_p11	APTC-SA-4 1007_1192	152	1.0	4.152e-47
phrog_1291 ## NC_027366_p132	contig_3 72286_72624	105	0.526	1.085e-29
phrog_2673 ## JX080303_p155	contig_3 90338_90598	182	0.988	7.998e-57
phrog_6 ## p248291 VI_09499	contig_3 50082_51128	73	0.232	8.515e-16
