ARO Category	ARO Accession	ARO Name
AMR Gene Family	ARO:3004221	CPS beta-lactamase
AMR Gene Family	ARO:3005398	CRD3 beta-lactamase
AMR Gene Family	ARO:3005399	CRH beta-lactamase
AMR Gene Family	ARO:3005400	CRP beta-lactamase
AMR Gene Family	ARO:3005401	CSA beta-lactamase
AMR Gene Family	ARO:3005402	CSP beta-lactamase
AMR Gene Family	ARO:3000016	CTX-M beta-lactamase
AMR Gene Family	ARO:3005403	CVI beta-lactamase
AMR Gene Family	ARO:3004943	cycloserine resistant ald
AMR Gene Family	ARO:3004946	cycloserine resistant alr
AMR Gene Family	ARO:3004939	cycloserine resistant ddlA
AMR Gene Family	ARO:3003388	dapsone resistant dihydropteroate synthase folP
AMR Gene Family	ARO:3003804	daptomycin resistant agrA
AMR Gene Family	ARO:3003290	daptomycin-resistant beta prime subunit of RNA polymerase (rpoC)
AMR Gene Family	ARO:3003090	daptomycin resistant beta-subunit of RNA polymerase (rpoB)
AMR Gene Family	ARO:3004096	daptomycin resistant CdsA
AMR Gene Family	ARO:3003272	daptomycin resistant cls
AMR Gene Family	ARO:3003814	daptomycin resistant drmA
AMR Gene Family	ARO:3003802	daptomycin resistant gdpD
AMR Gene Family	ARO:3003806	daptomycin resistant gshF
AMR Gene Family	ARO:3004262	daptomycin resistant liaF
AMR Gene Family	ARO:3004263	daptomycin resistant liaR
AMR Gene Family	ARO:3004264	daptomycin resistant liaS
AMR Gene Family	ARO:3003091	daptomycin resistant mprF
AMR Gene Family	ARO:3003080	daptomycin resistant pgsA
AMR Gene Family	ARO:3003795	daptomycin resistant walK
AMR Gene Family	ARO:3003816	daptomycin resistant YvlB
AMR Gene Family	ARO:3003798	daptomycin resistant YybT
AMR Gene Family	ARO:3000863	defensin resistant mprF
AMR Gene Family	ARO:3004779	DES beta-lactamase
AMR Gene Family	ARO:3000068	DHA beta-lactamase
AMR Gene Family	ARO:3005404	DHT2 beta-lactamase
AMR Gene Family	ARO:3004208	DIM beta-lactamase
AMR Gene Family	ARO:3004244	DnaA chromosomal replication initiation protein
AMR Gene Family	ARO:3005405	EAM beta-lactamase
AMR Gene Family	ARO:3004204	EBR beta-lactamase
AMR Gene Family	ARO:3005406	EC beta-lactamase
AMR Gene Family	ARO:3005407	ECM beta-lactamase
AMR Gene Family	ARO:3005408	ECV beta-lactamase
AMR Gene Family	ARO:3004064	Edeine acetyltransferase
AMR Gene Family	ARO:3005409	EFM beta-lactamase
AMR Gene Family	ARO:3001312	elfamycin resistant EF-Tu
AMR Gene Family	ARO:3005410	ELM beta-lactamase
AMR Gene Family	ARO:3000560	Erm 23S ribosomal RNA methyltransferase
AMR Gene Family	ARO:3004781	ERP beta-lactamase
AMR Gene Family	ARO:3004222	ESP beta-lactamase
AMR Gene Family	ARO:3002876	ethambutol resistant aftA
AMR Gene Family	ARO:3003452	ethambutol resistant embA
AMR Gene Family	ARO:3000235	ethambutol resistant embB
AMR Gene Family	ARO:3002706	ethambutol resistant embC
AMR Gene Family	ARO:3003454	ethambutol resistant embR
AMR Gene Family	ARO:3003447	Ethambutol resistant iniA
AMR Gene Family	ARO:3004136	Ethambutol resistant iniB
AMR Gene Family	ARO:3003450	Ethambutol resistant iniC
AMR Gene Family	ARO:3004949	ethambutol resistant ubiA
AMR Gene Family	ARO:3003457	ethionamide resistant ethA
AMR Gene Family	ARO:3004888	Ethionamide resistant fabG1
AMR Gene Family	ARO:3004890	ethionamide resistant mshC
AMR Gene Family	ARO:3004892	ethionamide resistant nudC
AMR Gene Family	ARO:3004954	Ethionamide resistant Rv0565c
AMR Gene Family	ARO:3005411	EVM beta-lactamase
AMR Gene Family	ARO:3004234	EXO beta-lactamase
AMR Gene Family	ARO:3004783	FAR beta-lactamase
AMR Gene Family	ARO:3004211	FEZ beta-lactamase
AMR Gene Family	ARO:3005412	FIA beta-lactamase
AMR Gene Family	ARO:3004785	FIM beta-lactamase
AMR Gene Family	ARO:3004917	fluoroquinolone resistant eccB5
AMR Gene Family	ARO:3004920	fluoroquinolone resistant eccC5
AMR Gene Family	ARO:3003292	fluoroquinolone resistant gyrA
AMR Gene Family	ARO:3000864	fluoroquinolone resistant gyrB
AMR Gene Family	ARO:3000619	fluoroquinolone resistant parC
AMR Gene Family	ARO:3003313	fluoroquinolone resistant parE
AMR Gene Family	ARO:3003786	fluoroquinolone self resistant parC
AMR Gene Family	ARO:3004246	Fom phosphotransferase family
AMR Gene Family	ARO:3004787	FONA beta-lactamase
AMR Gene Family	ARO:3004245	fosC phosphotransferase family
AMR Gene Family	ARO:3000133	fosfomycin thiol transferase
AMR Gene Family	ARO:3000067	FOX beta-lactamase
AMR Gene Family	ARO:3004794	FPH beta-lactamase
AMR Gene Family	ARO:3004796	FRI beta-lactamase
AMR Gene Family	ARO:3004800	FTU beta-lactamase
AMR Gene Family	ARO:3003025	fusidic acid inactivation enzyme
AMR Gene Family	ARO:3004281	General Bacterial Porin with reduced permeability to beta-lactams
AMR Gene Family	ARO:3004282	General Bacterial Porin with reduced permeability to peptide antibiotics
AMR Gene Family	ARO:3000066	GES beta-lactamase
AMR Gene Family	ARO:3005413	GIL beta-lactamase
AMR Gene Family	ARO:3004236	gimA family macrolide glycosyltransferase
AMR Gene Family	ARO:3003195	GIM beta-lactamase
AMR Gene Family	ARO:3000234	glycopeptide resistance gene cluster
AMR Gene Family	ARO:3005414	GMB beta-lactamase
AMR Gene Family	ARO:3004212	GOB beta-lactamase
AMR Gene Family	ARO:3005095	GPC beta-lactamase
AMR Gene Family	ARO:3005415	GRD23 beta-lactamase
AMR Gene Family	ARO:3005416	GRD33 beta-lactamase
AMR Gene Family	ARO:3007054	Helicobater pylori 16S RNA mutants conferring resistance to tetracycline
AMR Gene Family	ARO:3004447	HERA beta-lactamase
AMR Gene Family	ARO:3004209	HMB beta-lactamase
AMR Gene Family	ARO:3005011	IDC beta-lactamase
AMR Gene Family	ARO:3000018	IMI beta-lactamase
AMR Gene Family	ARO:3000020	IMP beta-lactamase
AMR Gene Family	ARO:3000060	IND beta-lactamase
AMR Gene Family	ARO:3004875	inhA with mutations with conferring resistance to ethionamide
AMR Gene Family	ARO:3004465	intrinsic colistin resistant phosphoethanolamine transferase
AMR Gene Family	ARO:3005050	Intrinsic peptide antibiotic resistant Lps
AMR Gene Family	ARO:3004894	Isoniazid resistant ahpC
AMR Gene Family	ARO:3005103	isoniazid resistant ethA
AMR Gene Family	ARO:3004895	isoniazid resistant fabG1
AMR Gene Family	ARO:3004897	isoniazid resistant furA
AMR Gene Family	ARO:3004899	isoniazid resistant inbR
AMR Gene Family	ARO:3004874	isoniazid resistant inhA
AMR Gene Family	ARO:3003416	isoniazid resistant katG
AMR Gene Family	ARO:3004908	isoniazid resistant mmaA3
AMR Gene Family	ARO:3004901	isoniazid resistant mshA
AMR Gene Family	ARO:3004903	isoniazid resistant mshB
AMR Gene Family	ARO:3004904	isoniazid resistant mshC
AMR Gene Family	ARO:3004906	isoniazid resistant mymA
AMR Gene Family	ARO:3004910	isoniazid resistant nat
AMR Gene Family	ARO:3004911	isoniazid resistant nudC
AMR Gene Family	ARO:3004913	isoniazid resistant sigI
AMR Gene Family	ARO:3004202	JOHN beta-lactamase
AMR Gene Family	ARO:3004962	kanamycin resistant eis
AMR Gene Family	ARO:3004966	Kanamycin resistant whib7
AMR Gene Family	ARO:3004046	kdpDE
AMR Gene Family	ARO:3004207	KHM beta-lactamase
AMR Gene Family	ARO:3003810	kirromycin self resistant EF-Tu
AMR Gene Family	ARO:3005417	KLUC beta-lactamase
AMR Gene Family	ARO:3000059	KPC beta-lactamase
AMR Gene Family	ARO:3004215	L1 family beta-lactamase
AMR Gene Family	ARO:3004824	LAP beta-lactamase
AMR Gene Family	ARO:3002996	LCR beta-lactamase
AMR Gene Family	ARO:3000097	LEN beta-lactamase
AMR Gene Family	ARO:3005418	LHK beta-lactamase
AMR Gene Family	ARO:3000221	lincosamide nucleotidyltransferase (LNU)
AMR Gene Family	ARO:3004363	lipid A acyltransferase
AMR Gene Family	ARO:3004287	lipid A phosphatase
AMR Gene Family	ARO:3004273	Llm 23S ribosomal RNA methyltransferase
AMR Gene Family	ARO:3005017	LMB beta-lactamase
AMR Gene Family	ARO:3005419	LRG beta-lactamase
AMR Gene Family	ARO:3004472	lsa-type ABC-F protein
AMR Gene Family	ARO:3005420	LUS beta-lactamase
AMR Gene Family	ARO:3005421	LUT beta-lactamase
AMR Gene Family	ARO:3004265	lysocin resistant menA
AMR Gene Family	ARO:3000320	macrolide esterase
AMR Gene Family	ARO:3000333	macrolide phosphotransferase (MPH)
AMR Gene Family	ARO:0010002	major facilitator superfamily (MFS) antibiotic efflux pump
AMR Gene Family	ARO:3005422	MAL beta-lactamase
AMR Gene Family	ARO:3005423	MBL beta-lactamase
AMR Gene Family	ARO:3004268	MCR phosphoethanolamine transferase
AMR Gene Family	ARO:3001208	methicillin resistant PBP2
AMR Gene Family	ARO:3004237	mgt macrolide glycotransferase
AMR Gene Family	ARO:3004280	MipA-interacting Protein
AMR Gene Family	ARO:3000058	MIR beta-lactamase
AMR Gene Family	ARO:3007068	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins
AMR Gene Family	ARO:3005424	MOC beta-lactamase
AMR Gene Family	ARO:3005425	MOR beta-lactamase
AMR Gene Family	ARO:3000083	MOX beta-lactamase
AMR Gene Family	ARO:3004223	MSI beta-lactamase
AMR Gene Family	ARO:3004242	MSI-OXA family beta-lactamase
AMR Gene Family	ARO:3004471	msr-type ABC-F protein
AMR Gene Family	ARO:3000112	multidrug and toxic compound extrusion (MATE) transporter
AMR Gene Family	ARO:3007184	multidrug resistant Rv1258c
AMR Gene Family	ARO:3004560	murG transferase
AMR Gene Family	ARO:3004067	MUS beta-lactamase
AMR Gene Family	ARO:3000252	Mutant porin Omp36 with reduced permeability to beta-lactams
AMR Gene Family	ARO:3000493	Mutant porin ompF with reduced permeability to beta-lactams
AMR Gene Family	ARO:3003391	mutant porin PIB (por) with reduced permeability to antibiotics
AMR Gene Family	ARO:3005426	MYO beta-lactamase
AMR Gene Family	ARO:3005427	MYX beta-lactamase
AMR Gene Family	ARO:3000057	NDM beta-lactamase
AMR Gene Family	ARO:3007103	nitroimidazole reductase
AMR Gene Family	ARO:3004195	NmcA beta-lactamase
AMR Gene Family	ARO:3003065	non-erm 23S ribosomal RNA methyltransferase (A1067)
AMR Gene Family	ARO:3001298	non-erm 23S ribosomal RNA methyltransferase (G748)
AMR Gene Family	ARO:3004240	NPS beta-lactamase
AMR Gene Family	ARO:3000094	OCH beta-lactamase
AMR Gene Family	ARO:3005428	OHIO beta-lactamase
AMR Gene Family	ARO:3002417	OKP beta-lactamase
AMR Gene Family	ARO:3000465	ole glycosyltransferase
AMR Gene Family	ARO:3005429	ORN beta-lactamase
AMR Gene Family	ARO:3005430	ORR beta-lactamase
AMR Gene Family	ARO:3004278	Outer Membrane Porin (Opr)
AMR Gene Family	ARO:3000017	OXA beta-lactamase
AMR Gene Family	ARO:3002388	OXY beta-lactamase
AMR Gene Family	ARO:3005149	PAC beta-lactamase
AMR Gene Family	ARO:3005431	PAU beta-lactamase
AMR Gene Family	ARO:3000098	PDC beta-lactamase
AMR Gene Family	ARO:3003938	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics
AMR Gene Family	ARO:3000056	PER beta-lactamase
AMR Gene Family	ARO:3005205	perchlozone resistant ethA
AMR Gene Family	ARO:3005432	PFM beta-lactamase
AMR Gene Family	ARO:3007020	PFM-like beta-lactamase
AMR Gene Family	ARO:3004286	phenotypic variant regulator
AMR Gene Family	ARO:3005433	PLA beta-lactamase
AMR Gene Family	ARO:3005434	PLN beta-lactamase
AMR Gene Family	ARO:3005435	PME beta-lactamase
AMR Gene Family	ARO:3004269	pmr phosphoethanolamine transferase
AMR Gene Family	ARO:3004570	PNGM beta-lactamase
AMR Gene Family	ARO:3005436	POM beta-lactamase
AMR Gene Family	ARO:3007084	PRC beta-lactamase
AMR Gene Family	ARO:3005104	prothionamide resistant ethA
AMR Gene Family	ARO:3005101	prothionamide resistant katG
AMR Gene Family	ARO:3005107	prothionamide resistant mshA
AMR Gene Family	ARO:3005437	PST beta-lactamase
AMR Gene Family	ARO:3005438	PSV beta-lactamase
AMR Gene Family	ARO:3004878	pyrazinamide resistant clpC1
AMR Gene Family	ARO:3004880	pyrazinamide resistant gpsI
AMR Gene Family	ARO:3004882	pyrazinamide resistant mas
AMR Gene Family	ARO:3003418	Pyrazinamide resistant pncA
AMR Gene Family	ARO:3004722	pyrazinamide resistant rpsA
AMR Gene Family	ARO:3004980	pyrazinamide resistant Rv0191
AMR Gene Family	ARO:3004983	pyrazinamide resistant Rv1667
AMR Gene Family	ARO:3004986	pyrazinamide resistant Rv2731
AMR Gene Family	ARO:3004989	pyrazinamide resistant Rv3008
AMR Gene Family	ARO:3004992	pyrazinamide resistant Rv3169
AMR Gene Family	ARO:3000419	quinolone resistance protein (qnr)
AMR Gene Family	ARO:3004198	R39 beta-lactamase
AMR Gene Family	ARO:3005439	RAHN beta-lactamase
AMR Gene Family	ARO:3004243	RbpA bacterial RNA polymerase-binding protein
AMR Gene Family	ARO:3004235	RCP beta-lactamase
AMR Gene Family	ARO:0010004	resistance-nodulation-cell division (RND) antibiotic efflux pump
AMR Gene Family	ARO:3005082	Ribosomal protein mutation conferring resistance to pleuromutilin antibiotics
AMR Gene Family	ARO:3004998	rifampicin resistant rpoA
AMR Gene Family	ARO:3004995	rifampicin resistant rpoC
AMR Gene Family	ARO:3000390	rifampin ADP-ribosyltransferase (Arr)
AMR Gene Family	ARO:3000443	rifampin glycosyltransferase
AMR Gene Family	ARO:3000445	rifampin monooxygenase
AMR Gene Family	ARO:3004040	rifampin phosphotransferase
AMR Gene Family	ARO:3003464	rifamycin-resistant arabinosyltransferase
AMR Gene Family	ARO:3000210	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
AMR Gene Family	ARO:3004959	rifamycin resistant ponA1
AMR Gene Family	ARO:3004225	Rm3 family beta-lactamase
AMR Gene Family	ARO:3002994	ROB beta-lactamase
AMR Gene Family	ARO:3005440	RSA2 beta-lactamase
AMR Gene Family	ARO:3004443	RSA beta-lactamase
AMR Gene Family	ARO:3005441	RSD2 beta-lactamase
AMR Gene Family	ARO:3005054	RSD Beta-lactamase
AMR Gene Family	ARO:3005442	RUB beta-lactamase
AMR Gene Family	ARO:3007030	sal-type ABC-F protein
AMR Gene Family	ARO:3004855	SCO beta-lactamase
AMR Gene Family	ARO:3004193	Sed beta-lactamase
AMR Gene Family	ARO:3005443	SFC beta-lactamase
AMR Gene Family	ARO:3004210	SFH beta-lactamase
AMR Gene Family	ARO:3005444	SFO beta-lactamase
AMR Gene Family	ARO:3005445	SGM beta-lactamase
AMR Gene Family	ARO:3007016	SHD beta-lactamase
AMR Gene Family	ARO:3005446	SHN beta-lactamase
AMR Gene Family	ARO:3000015	SHV beta-lactamase
AMR Gene Family	ARO:3003555	SHW beta-lactamase
AMR Gene Family	ARO:3004206	SIM beta-lactamase
AMR Gene Family	ARO:0010003	small multidrug resistance (SMR) antibiotic efflux pump
AMR Gene Family	ARO:3004217	SMB beta-lactamase
AMR Gene Family	ARO:3000055	SME beta-lactamase
AMR Gene Family	ARO:3004224	SPG beta-lactamase
AMR Gene Family	ARO:3000580	SPM beta-lactamase
AMR Gene Family	ARO:3005447	SPN79 beta-lactamase
AMR Gene Family	ARO:3005448	SPR beta-lactamase
AMR Gene Family	ARO:3005449	SPS beta-lactamase
AMR Gene Family	ARO:3005450	SPU beta-lactamase
AMR Gene Family	ARO:3000095	SRT beta-lactamase
AMR Gene Family	ARO:3005451	SST beta-lactamase
AMR Gene Family	ARO:3005452	STA beta-lactamase
AMR Gene Family	ARO:3000453	streptogramin vat acetyltransferase
AMR Gene Family	ARO:3000376	streptogramin vgb lyase
AMR Gene Family	ARO:3004970	streptomycin resistant Rv1258c
AMR Gene Family	ARO:3004965	streptomycin resistant whib7
AMR Gene Family	ARO:3000869	streptothricin acetyltransferase (SAT)
AMR Gene Family	ARO:3004230	subclass B1 Bacillus anthracis Bla beta-lactamase
AMR Gene Family	ARO:3000577	subclass B1 Bacillus cereus Bc beta-lactamase
AMR Gene Family	ARO:3007117	subclass B1 Bacteroides xylanisolvens crx beta-lactamase
AMR Gene Family	ARO:3004227	subclass B1 PEDO beta-lactamase
AMR Gene Family	ARO:3004288	Subclass B1 Vibrio cholerae varG beta-lactamase
AMR Gene Family	ARO:3004226	subclass B3 LRA beta-lactamase
AMR Gene Family	ARO:3004220	subclass B3 PEDO beta-lactamase
AMR Gene Family	ARO:3004279	Sugar Porin (SP)
AMR Gene Family	ARO:3003415	sulfonamide resistant dihydropteroate synthase folP
AMR Gene Family	ARO:3004238	sulfonamide resistant sul
AMR Gene Family	ARO:3005086	Target protecting FusB-type protein conferring resistance to Fusidic acid
AMR Gene Family	ARO:3000014	TEM beta-lactamase
AMR Gene Family	ARO:3005453	TER beta-lactamase
AMR Gene Family	ARO:3000036	tetracycline inactivation enzyme
AMR Gene Family	ARO:0000002	tetracycline-resistant ribosomal protection protein
AMR Gene Family	ARO:3004214	THIN-B beta-lactamase
AMR Gene Family	ARO:3003201	TLA beta-lactamase
AMR Gene Family	ARO:3004104	TMB beta-lactamase
AMR Gene Family	ARO:3004333	triclosan resistant gyrA
AMR Gene Family	ARO:3001218	trimethoprim resistant dihydrofolate reductase dfr
AMR Gene Family	ARO:3004449	TRU beta-lactamase
AMR Gene Family	ARO:3005454	TTU beta-lactamase
AMR Gene Family	ARO:3004285	tunicamycin resistance protein
AMR Gene Family	ARO:3004205	TUS beta-lactamase
AMR Gene Family	ARO:3003398	undecaprenyl pyrophosphate related proteins
AMR Gene Family	ARO:3007065	VAM beta-lactamase
AMR Gene Family	ARO:3004725	vancomycin-resistant beta prime subunit of RNA polymerase (rpoC)
AMR Gene Family	ARO:3000006	vanH
AMR Gene Family	ARO:3004255	vanJ membrane protein
AMR Gene Family	ARO:3002915	vanK
AMR Gene Family	ARO:3002906	Van ligase
AMR Gene Family	ARO:3000574	vanR
AMR Gene Family	ARO:3000071	vanS
AMR Gene Family	ARO:3000372	vanT
AMR Gene Family	ARO:3000575	vanU
AMR Gene Family	ARO:3002916	vanV
AMR Gene Family	ARO:3000002	vanW
AMR Gene Family	ARO:3000011	vanX
AMR Gene Family	ARO:3000496	vanXY
AMR Gene Family	ARO:3000077	vanY
AMR Gene Family	ARO:3000116	vanZ
AMR Gene Family	ARO:3004196	VCC beta-lactamase
AMR Gene Family	ARO:3000043	VEB beta-lactamase
AMR Gene Family	ARO:3000113	vga-type ABC-F protein
AMR Gene Family	ARO:3005455	VHH beta-lactamase
AMR Gene Family	ARO:3005456	VHW beta-lactamase
AMR Gene Family	ARO:3000021	VIM beta-lactamase
AMR Gene Family	ARO:3004261	viomycin phosphotransferase
AMR Gene Family	ARO:3005014	VMB beta-lactamase
AMR Gene Family	ARO:3005457	YEM beta-lactamase
AMR Gene Family	ARO:3005034	YRC Beta-lactamase
